Dataset: train=1405, val=156, test=4
Model config: {'sequence_len': 320, 'vocab_size': 4096, 'n_layer': 8, 'n_head': 8, 'd_model': 512, 'mlp_ratio': 4.0, 'dropout': 0.0}
Num params: 27.44M
Time budget: 300s

step 00063 (  4.0%) | loss: 5.1877 | lr: 7.96e-04 | grad: 0.54 | tok/sec: 1,391,679 | epoch: 6 | remaining: 288s   
step 00064 (  4.0%) | loss: 5.1540 | lr: 7.98e-04 | grad: 0.74 | tok/sec: 1,385,752 | epoch: 6 | remaining: 288s   
step 00065 (  4.0%) | loss: 5.1172 | lr: 8.00e-04 | grad: 0.78 | tok/sec: 1,401,145 | epoch: 7 | remaining: 288s   
step 00066 (  4.0%) | loss: 5.0761 | lr: 8.02e-04 | grad: 0.59 | tok/sec: 1,381,151 | epoch: 7 | remaining: 288s   
step 00067 (  4.0%) | loss: 5.0454 | lr: 8.04e-04 | grad: 0.72 | tok/sec: 1,379,222 | epoch: 7 | remaining: 288s   
step 00068 (  4.0%) | loss: 5.0121 | lr: 8.06e-04 | grad: 0.74 | tok/sec: 1,390,812 | epoch: 7 | remaining: 288s   
step 00069 (  4.0%) | loss: 4.9738 | lr: 8.08e-04 | grad: 0.67 | tok/sec: 1,383,732 | epoch: 7 | remaining: 288s   
step 00070 (  4.1%) | loss: 4.9381 | lr: 8.10e-04 | grad: 0.93 | tok/sec: 1,384,055 | epoch: 7 | remaining: 288s   
step 00071 (  4.1%) | loss: 4.8938 | lr: 8.12e-04 | grad: 0.76 | tok/sec: 1,385,216 | epoch: 7 | remaining: 288s   
step 00072 (  4.1%) | loss: 4.8670 | lr: 8.14e-04 | grad: 0.83 | tok/sec: 1,364,738 | epoch: 7 | remaining: 288s   
step 00073 (  4.1%) | loss: 4.8299 | lr: 8.16e-04 | grad: 0.77 | tok/sec: 1,376,625 | epoch: 7 | remaining: 288s   
step 00074 (  4.1%) | loss: 4.8034 | lr: 8.18e-04 | grad: 0.82 | tok/sec: 1,382,707 | epoch: 7 | remaining: 288s   
step 00075 (  4.1%) | loss: 4.7742 | lr: 8.20e-04 | grad: 0.67 | tok/sec: 1,386,323 | epoch: 7 | remaining: 288s   
step 00076 (  4.1%) | loss: 4.7413 | lr: 8.22e-04 | grad: 0.77 | tok/sec: 1,404,318 | epoch: 8 | remaining: 288s   
step 00077 (  4.1%) | loss: 4.7073 | lr: 8.23e-04 | grad: 0.80 | tok/sec: 1,387,577 | epoch: 8 | remaining: 288s   
step 00078 (  4.1%) | loss: 4.6731 | lr: 8.25e-04 | grad: 0.81 | tok/sec: 1,376,007 | epoch: 8 | remaining: 288s   
step 00079 (  4.1%) | loss: 4.6272 | lr: 8.27e-04 | grad: 1.00 | tok/sec: 1,371,558 | epoch: 8 | remaining: 288s   
step 00080 (  4.2%) | loss: 4.5911 | lr: 8.29e-04 | grad: 0.63 | tok/sec: 1,384,200 | epoch: 8 | remaining: 288s   
step 00081 (  4.2%) | loss: 4.5711 | lr: 8.31e-04 | grad: 0.81 | tok/sec: 1,379,122 | epoch: 8 | remaining: 287s   
step 00082 (  4.2%) | loss: 4.5491 | lr: 8.33e-04 | grad: 0.65 | tok/sec: 1,380,319 | epoch: 8 | remaining: 287s   
step 00083 (  4.2%) | loss: 4.5305 | lr: 8.35e-04 | grad: 0.71 | tok/sec: 1,390,384 | epoch: 8 | remaining: 287s   
step 00084 (  4.2%) | loss: 4.5039 | lr: 8.37e-04 | grad: 0.66 | tok/sec: 1,375,060 | epoch: 8 | remaining: 287s   
step 00085 (  4.2%) | loss: 4.4836 | lr: 8.39e-04 | grad: 0.65 | tok/sec: 1,363,806 | epoch: 8 | remaining: 287s   
step 00086 (  4.2%) | loss: 4.4603 | lr: 8.41e-04 | grad: 0.72 | tok/sec: 1,377,430 | epoch: 8 | remaining: 287s   
step 00087 (  4.2%) | loss: 4.4363 | lr: 8.43e-04 | grad: 0.73 | tok/sec: 1,397,737 | epoch: 9 | remaining: 287s   
step 00088 (  4.2%) | loss: 4.4004 | lr: 8.45e-04 | grad: 0.62 | tok/sec: 1,377,176 | epoch: 9 | remaining: 287s   
step 00089 (  4.2%) | loss: 4.3723 | lr: 8.47e-04 | grad: 0.79 | tok/sec: 1,382,318 | epoch: 9 | remaining: 287s   
step 00090 (  4.3%) | loss: 4.3530 | lr: 8.49e-04 | grad: 0.91 | tok/sec: 1,370,388 | epoch: 9 | remaining: 287s   
step 00091 (  4.3%) | loss: 4.3356 | lr: 8.51e-04 | grad: 1.02 | tok/sec: 1,378,823 | epoch: 9 | remaining: 287s   
step 00092 (  4.3%) | loss: 4.3092 | lr: 8.53e-04 | grad: 0.83 | tok/sec: 1,377,784 | epoch: 9 | remaining: 287s   
step 00093 (  4.3%) | loss: 4.2942 | lr: 8.55e-04 | grad: 0.77 | tok/sec: 1,391,127 | epoch: 9 | remaining: 287s   
step 00094 (  4.3%) | loss: 4.2729 | lr: 8.57e-04 | grad: 0.81 | tok/sec: 1,381,495 | epoch: 9 | remaining: 287s   
step 00095 (  4.3%) | loss: 4.2589 | lr: 8.59e-04 | grad: 0.76 | tok/sec: 1,375,919 | epoch: 9 | remaining: 287s   
step 00096 (  4.3%) | loss: 4.2354 | lr: 8.61e-04 | grad: 0.72 | tok/sec: 1,398,841 | epoch: 9 | remaining: 287s   
step 00097 (  4.3%) | loss: 4.2170 | lr: 8.63e-04 | grad: 0.65 | tok/sec: 1,395,251 | epoch: 9 | remaining: 287s   
step 00098 (  4.3%) | loss: 4.1904 | lr: 8.65e-04 | grad: 0.75 | tok/sec: 1,385,898 | epoch: 10 | remaining: 287s   
step 00099 (  4.3%) | loss: 4.1638 | lr: 8.67e-04 | grad: 0.63 | tok/sec: 1,385,965 | epoch: 10 | remaining: 287s   
step 00100 (  4.4%) | loss: 4.1410 | lr: 8.69e-04 | grad: 0.61 | tok/sec: 1,391,228 | epoch: 10 | remaining: 287s   
step 00101 (  4.4%) | loss: 4.1194 | lr: 8.71e-04 | grad: 0.75 | tok/sec: 1,369,776 | epoch: 10 | remaining: 287s   
step 00102 (  4.4%) | loss: 4.0916 | lr: 8.73e-04 | grad: 0.78 | tok/sec: 1,375,544 | epoch: 10 | remaining: 287s   
step 00103 (  4.4%) | loss: 4.0743 | lr: 8.75e-04 | grad: 0.58 | tok/sec: 1,386,233 | epoch: 10 | remaining: 287s   
step 00104 (  4.4%) | loss: 4.0685 | lr: 8.77e-04 | grad: 0.72 | tok/sec: 1,371,909 | epoch: 10 | remaining: 287s   
step 00105 (  4.4%) | loss: 4.0421 | lr: 8.79e-04 | grad: 0.70 | tok/sec: 1,383,164 | epoch: 10 | remaining: 287s   
step 00106 (  4.4%) | loss: 4.0239 | lr: 8.81e-04 | grad: 0.65 | tok/sec: 1,382,251 | epoch: 10 | remaining: 287s   
step 00107 (  4.4%) | loss: 4.0203 | lr: 8.83e-04 | grad: 0.82 | tok/sec: 1,380,840 | epoch: 10 | remaining: 287s   
step 00108 (  4.4%) | loss: 4.0116 | lr: 8.85e-04 | grad: 0.70 | tok/sec: 1,379,875 | epoch: 10 | remaining: 287s   
step 00109 (  4.4%) | loss: 4.0011 | lr: 8.87e-04 | grad: 0.99 | tok/sec: 1,406,019 | epoch: 11 | remaining: 287s   
step 00110 (  4.5%) | loss: 3.9851 | lr: 8.89e-04 | grad: 1.22 | tok/sec: 1,387,117 | epoch: 11 | remaining: 287s   
step 00111 (  4.5%) | loss: 3.9622 | lr: 8.91e-04 | grad: 0.75 | tok/sec: 1,374,268 | epoch: 11 | remaining: 287s   
step 00112 (  4.5%) | loss: 3.9432 | lr: 8.93e-04 | grad: 0.87 | tok/sec: 1,378,823 | epoch: 11 | remaining: 287s   
step 00113 (  4.5%) | loss: 3.9237 | lr: 8.95e-04 | grad: 0.71 | tok/sec: 1,386,681 | epoch: 11 | remaining: 287s   
step 00114 (  4.5%) | loss: 3.9005 | lr: 8.97e-04 | grad: 0.79 | tok/sec: 1,365,942 | epoch: 11 | remaining: 287s   
step 00115 (  4.5%) | loss: 3.8809 | lr: 8.99e-04 | grad: 0.68 | tok/sec: 1,380,996 | epoch: 11 | remaining: 286s   
step 00116 (  4.5%) | loss: 3.8717 | lr: 9.01e-04 | grad: 0.76 | tok/sec: 1,377,298 | epoch: 11 | remaining: 286s   
step 00117 (  4.5%) | loss: 3.8575 | lr: 9.03e-04 | grad: 0.77 | tok/sec: 1,386,524 | epoch: 11 | remaining: 286s   
step 00118 (  4.5%) | loss: 3.8612 | lr: 9.05e-04 | grad: 0.77 | tok/sec: 1,377,110 | epoch: 11 | remaining: 286s   
step 00119 (  4.5%) | loss: 3.8571 | lr: 9.06e-04 | grad: 0.82 | tok/sec: 1,382,730 | epoch: 11 | remaining: 286s   
step 00120 (  4.6%) | loss: 3.8538 | lr: 9.08e-04 | grad: 0.79 | tok/sec: 1,409,190 | epoch: 12 | remaining: 286s   
step 00121 (  4.6%) | loss: 3.8420 | lr: 9.10e-04 | grad: 0.81 | tok/sec: 1,389,732 | epoch: 12 | remaining: 286s   
step 00122 (  4.6%) | loss: 3.8251 | lr: 9.12e-04 | grad: 0.75 | tok/sec: 1,376,592 | epoch: 12 | remaining: 286s   
step 00123 (  4.6%) | loss: 3.8057 | lr: 9.14e-04 | grad: 0.80 | tok/sec: 1,392,762 | epoch: 12 | remaining: 286s   
step 00124 (  4.6%) | loss: 3.7857 | lr: 9.16e-04 | grad: 0.61 | tok/sec: 1,374,818 | epoch: 12 | remaining: 286s   
step 00125 (  4.6%) | loss: 3.7717 | lr: 9.18e-04 | grad: 0.78 | tok/sec: 1,379,421 | epoch: 12 | remaining: 286s   
step 00126 (  4.6%) | loss: 3.7608 | lr: 9.20e-04 | grad: 0.84 | tok/sec: 1,369,797 | epoch: 12 | remaining: 286s   
step 00127 (  4.6%) | loss: 3.7514 | lr: 9.22e-04 | grad: 0.77 | tok/sec: 1,385,216 | epoch: 12 | remaining: 286s   
step 00128 (  4.6%) | loss: 3.7355 | lr: 9.24e-04 | grad: 0.66 | tok/sec: 1,383,877 | epoch: 12 | remaining: 286s   
step 00129 (  4.6%) | loss: 3.7167 | lr: 9.26e-04 | grad: 0.78 | tok/sec: 1,378,359 | epoch: 12 | remaining: 286s   
step 00130 (  4.7%) | loss: 3.7130 | lr: 9.28e-04 | grad: 0.67 | tok/sec: 1,394,888 | epoch: 12 | remaining: 286s   
step 00131 (  4.7%) | loss: 3.7077 | lr: 9.30e-04 | grad: 0.70 | tok/sec: 1,387,778 | epoch: 13 | remaining: 286s   
step 00132 (  4.7%) | loss: 3.6941 | lr: 9.32e-04 | grad: 0.77 | tok/sec: 1,382,563 | epoch: 13 | remaining: 286s   
step 00133 (  4.7%) | loss: 3.6817 | lr: 9.34e-04 | grad: 0.95 | tok/sec: 1,372,928 | epoch: 13 | remaining: 286s   
step 00134 (  4.7%) | loss: 3.6686 | lr: 9.36e-04 | grad: 0.92 | tok/sec: 1,385,864 | epoch: 13 | remaining: 286s   
step 00135 (  4.7%) | loss: 3.6569 | lr: 9.38e-04 | grad: 0.85 | tok/sec: 1,375,820 | epoch: 13 | remaining: 286s   
step 00136 (  4.7%) | loss: 3.6486 | lr: 9.40e-04 | grad: 0.95 | tok/sec: 1,387,352 | epoch: 13 | remaining: 286s   
step 00137 (  4.7%) | loss: 3.6288 | lr: 9.42e-04 | grad: 0.95 | tok/sec: 1,382,007 | epoch: 13 | remaining: 286s   
step 00138 (  4.7%) | loss: 3.6218 | lr: 9.44e-04 | grad: 0.79 | tok/sec: 1,382,451 | epoch: 13 | remaining: 286s   
step 00139 (  4.7%) | loss: 3.6203 | lr: 9.46e-04 | grad: 0.83 | tok/sec: 1,383,342 | epoch: 13 | remaining: 286s   
step 00140 (  4.7%) | loss: 3.6120 | lr: 9.48e-04 | grad: 0.81 | tok/sec: 1,380,219 | epoch: 13 | remaining: 286s   
step 00141 (  4.8%) | loss: 3.5998 | lr: 9.50e-04 | grad: 1.00 | tok/sec: 1,387,756 | epoch: 13 | remaining: 286s   
step 00142 (  4.8%) | loss: 3.5895 | lr: 9.52e-04 | grad: 0.79 | tok/sec: 1,405,616 | epoch: 14 | remaining: 286s   
step 00143 (  4.8%) | loss: 3.5711 | lr: 9.54e-04 | grad: 1.01 | tok/sec: 1,371,033 | epoch: 14 | remaining: 286s   
step 00144 (  4.8%) | loss: 3.5598 | lr: 9.56e-04 | grad: 0.83 | tok/sec: 1,362,303 | epoch: 14 | remaining: 286s   
step 00145 (  4.8%) | loss: 3.5438 | lr: 9.58e-04 | grad: 0.95 | tok/sec: 1,382,007 | epoch: 14 | remaining: 286s   
step 00146 (  4.8%) | loss: 3.5379 | lr: 9.60e-04 | grad: 0.72 | tok/sec: 1,391,228 | epoch: 14 | remaining: 286s   
step 00147 (  4.8%) | loss: 3.5155 | lr: 9.62e-04 | grad: 0.82 | tok/sec: 1,382,975 | epoch: 14 | remaining: 286s   
step 00148 (  4.8%) | loss: 3.5083 | lr: 9.64e-04 | grad: 0.66 | tok/sec: 1,382,707 | epoch: 14 | remaining: 286s   
step 00149 (  4.8%) | loss: 3.5048 | lr: 9.66e-04 | grad: 0.81 | tok/sec: 1,379,000 | epoch: 14 | remaining: 285s   
step 00150 (  4.8%) | loss: 3.4980 | lr: 9.68e-04 | grad: 0.82 | tok/sec: 1,381,340 | epoch: 14 | remaining: 285s   
step 00151 (  4.9%) | loss: 3.5013 | lr: 9.70e-04 | grad: 0.79 | tok/sec: 1,383,364 | epoch: 14 | remaining: 285s   
step 00152 (  4.9%) | loss: 3.4953 | lr: 9.72e-04 | grad: 1.05 | tok/sec: 1,383,431 | epoch: 14 | remaining: 285s   
step 00153 (  4.9%) | loss: 3.4879 | lr: 9.74e-04 | grad: 0.90 | tok/sec: 1,401,671 | epoch: 15 | remaining: 285s   
step 00154 (  4.9%) | loss: 3.4675 | lr: 9.76e-04 | grad: 0.69 | tok/sec: 1,375,875 | epoch: 15 | remaining: 285s   
step 00155 (  4.9%) | loss: 3.4524 | lr: 9.78e-04 | grad: 0.72 | tok/sec: 1,354,067 | epoch: 15 | remaining: 285s   
step 00156 (  4.9%) | loss: 3.4411 | lr: 9.80e-04 | grad: 0.74 | tok/sec: 1,373,839 | epoch: 15 | remaining: 285s   
step 00157 (  4.9%) | loss: 3.4332 | lr: 9.82e-04 | grad: 0.64 | tok/sec: 1,388,867 | epoch: 15 | remaining: 285s   
step 00158 (  4.9%) | loss: 3.4166 | lr: 9.84e-04 | grad: 0.89 | tok/sec: 1,381,884 | epoch: 15 | remaining: 285s   
step 00159 (  4.9%) | loss: 3.4114 | lr: 9.85e-04 | grad: 0.99 | tok/sec: 1,374,125 | epoch: 15 | remaining: 285s   
step 00160 (  4.9%) | loss: 3.3978 | lr: 9.87e-04 | grad: 1.06 | tok/sec: 1,371,777 | epoch: 15 | remaining: 285s   
step 00161 (  5.0%) | loss: 3.3956 | lr: 9.89e-04 | grad: 0.84 | tok/sec: 1,387,173 | epoch: 15 | remaining: 285s   
step 00162 (  5.0%) | loss: 3.3852 | lr: 9.91e-04 | grad: 0.80 | tok/sec: 1,374,719 | epoch: 15 | remaining: 285s   
step 00163 (  5.0%) | loss: 3.3853 | lr: 9.93e-04 | grad: 1.04 | tok/sec: 1,395,364 | epoch: 15 | remaining: 285s   
step 00164 (  5.0%) | loss: 3.3829 | lr: 9.95e-04 | grad: 0.85 | tok/sec: 1,377,397 | epoch: 16 | remaining: 285s   
